year,authors,title,journal,link
2025,"Augustin, N., Albrecht, A., Anaya-Izquierdo, K., Davis, A., Meining, S., Puhlmann, H. & Wood, S.",Modeling Tree Survival for Investigating Climate Change Effects,Journal of the American Statistical Association.,https://doi.org/10.1080/01621459.2025.2516181
2021,"Anaya-Izquierdo, K. & Alexander, N.",Spatial regression and spillover effects in cluster randomized trials with count outcomes,"Biometrics. 77, 2, p. 490-505",https://doi.org/10.1111/biom.13316
2021,"Anaya-Izquierdo, K., Davis, A. & Jones, M. C.",A family of cumulative hazard functions and their frailty connections,"Statistics and Probability Letters. 172, 109059.",https://doi.org/10.1016/j.spl.2021.109059
2020,"Alexander, N., Anaya-Izquierdo, K. & Lenhart, A.","Spatial Spillover Analysis of a Cluster-Randomized Trial against Dengue Vectors in Trujillo, Venezuela","PLoS Neglected Tropical Diseases. 14, 9, e0008576.",https://doi.org/10.1371/journal.pntd.0008576
2019,"Dolgov, S., Anaya-Izquierdo, K., Fox, C. & Scheichl, R.",Approximation and sampling of multivariate probability distributions in the tensor train decomposition,"Statistics and Computing. 30, 3, p. 603-625 23 p.",https://doi.org/10.1007/s11222-019-09910-z
2017,"Anaya-Izquierdo, K., Marriott, P., Vos, P. & Critchley, F.",On the geometric interplay between goodness-of-fit and estimation: Illustrative examples,"Computational Information Geometry : For Image and Signal Processing. Nielsen, F., Dodson, K. & Critchley, F. (eds.). Springer, p. 63-77 (Signals and Communication Technology).",https://link.springer.com/chapter/10.1007/978-3-319-47058-0_3
2017,"Anaya-Izquierdo, K., Critchley, F., Marriott, P. & Vos, P.",Towards the geometry of model sensitivity: an Illustration,"Computational Information Geometry : For Image and Signal Processing. Nielsen, F., Dodson, K. & Critchley, F. (eds.). Springer, p. 33-62 (Signals and Communication Technology).",https://link.springer.com/chapter/10.1007/978-3-319-47058-0_2
2015,"Brauer, R., Smeeth, L., Anaya-Izquierdo, K., Timmis, A., Denaxas, S. C., Farrington, C. P., Whitaker, H., Hemingway, H. & Douglas, I.",Antipsychotic drugs and risks of myocardial infarction: A self-controlled case series study,"European Heart Journal. 36, 16, p. 984–992 9 p.",https://doi.org/10.1093/eurheartj/ehu263
2014,"Vos, P. & Anaya Izquierdo, K. A.","Using Geometry to Select One Dimensional Exponential Families That Are Monotone Likelihood Ratio in the Sample Space, Are Weakly Unimodal and Can Be Parametrized by a Measure of Central Tendency","Entropy. 16, 7, p. 4088-4100",https://doi.org/10.3390/e16074088
2014,"Anaya Izquierdo, K. A., Critchley, F. & Marriott, P.",When are first order asymptotics adequate? A diagnostic,"Stat. 3, 1, p. 17-22 6 p.",https://doi.org/10.1002/sta4.40
2013,"Alexander, N. & Anaya-Izquierdo, K.",Comments on 'Log transformation: Application and interpretation in biomedical research',"Statistics in Medicine. 32, 21, p. 3768-3769 2 p.",https://doi.org/10.1002/sim.5774
2013,"Farrington, C. P., Unkel, S. & Anaya-Izquierdo, K.",Estimation of basic reproduction numbers: Individual heterogeneity and robustness to perturbation of the contact function,"Biostatistics . 14, 3, p. 528-40 13 p.",https://doi.org/10.1093/biostatistics/kxs054
2013,"Anaya-Izquierdo, K., Critchley, F., Marriott, P. & Vos, P.",Computational information geometry in statistics: foundations,"Geometric Science of Information: First International Conference, Gsi 2013, Paris, France, August 28-30, 2013, Proceedings . Nielsen, F. & Barbaresco, F. (eds.). Berlin, Germany: Springer, Vol. Part IX. p. 311-318 8 p. (Lecture Notes in Computer Science; vol. 8085).",https://link.springer.com/chapter/10.1007/978-3-642-40020-9_33
2013,"Anaya-Izquierdo, K., Critchley, F., Marriott, P. & Vos, P.",Computational information geometry in statistics: mixture modelling,"Geometric Science of Information: First International Conference, GSI 2013, Paris, France, August 28-30, 2013. Proceedings. Nielsen, F. & Barbaresco, F. (eds.). Berlin, Germany: Springer, Vol. IX. p. 319-326 8 p. (Lecture Notes in Computer Science; vol. 8085).",https://link.springer.com/chapter/10.1007/978-3-642-40020-9_34
2012,"Garthwaite, P. H., Critchley, F., Anaya-Izquierdo, K. & Mubwandarikwa, E.",Orthogonalization of vectors with minimal adjustment,"Biometrika. 99, 4, p. 787-798 12 p.",https://doi.org/10.1093/biomet/ass041
2012,"Paddy Farrington, C., Unkel, S. & Anaya-Izquierdo, K.",The relative frailty variance and shared frailty models,"Journal of the Royal Statistical Society: Series B - Statistical Methodology. 74, 4, p. 673-696 24 p.",https://doi.org/10.1111/j.1467-9868.2011.01021.x
2011,"Farrington, C. P., Anaya-Izquierdo, K., Whitaker, H. J., Hocine, M. N., Douglas, I. & Smeeth, L.",Self-controlled case series analysis with event-dependent observation periods,"Journal of the American Statistical Association. 106, 494, p. 417-426 10 p.",https://doi.org/10.1198/jasa.2011.ap10108
2011,"Anaya-Izquierdo, K., Critchley, F. & Vines, K.","Orthogonal simple component analysis: A new, exploratory approach","Annals of Applied Statistics. 5, 1, p. 486-522 37 p.",https://doi.org/10.1214/10-AOAS374
2011,"Jones, M. C. & Anaya-Izquierdo, K.",On parameter orthogonality in symmetric and skew models,"Journal of Statistical Planning and Inference. 141, 2, p. 758 - 770 13 p.",https://doi.org/10.1016/j.jspi.2010.07.021
2007,"Anaya-Izquierdo, K. A. & Marriott, P. K.",Local mixtures of the exponential distribution,"Annals of the Institute of Statistical Mathematics. 59, 1, p. 111-134 24 p.",https://dx.doi.org/10.1007/s10463-006-0095-z
2007,"Anaya-Izquierdo, K. & Marriott, P.",Local mixture models of exponential families,"Bernoulli. 13, 3, p. 623-640 18 p.",https://dx.doi.org/10.3150/07-BEJ6170
2001,"Anaya Izquierdo, K. A. & O'Reilly, F.",Test of fit for the inverse Gaussian and gamma distributions under censoring,"Communications in Statistics - Theory and Methods. 30, 4, p. 757-773 17 p.",https://doi.org/10.1081/STA-100002150
2000,"Anaya Izquierdo, K. A. & O'Reilly, F.",Fisher’s observed information matrix for location and scale parameters under type i censoring,"Communications in Statistics - Theory and Methods. 29, 7, p. 1527-1537 11 p.",https://doi.org/10.1080/03610920008832560
